alpha,akurasi ts 0.1,presisi ts 0.1,recall ts 0.1,f1 score ts 0.1,akurasi ts 0.2,presisi ts 0.2,recall ts 0.2,f1 score ts 0.2,akurasi ts 0.3,presisi ts 0.3,recall ts 0.3,f1 score ts 0.3,akurasi ts 0.4,presisi ts 0.4,recall ts 0.4,f1 score ts 0.4,akurasi ts 0.5,presisi ts 0.5,recall ts 0.5,f1 score ts 0.5
0.1,85.78828099708645,0.8152301060306455,0.8326115631342321,0.8230831983369647,84.81709291032696,0.8034746264006606,0.8208196964241292,0.8112626881440965,85.38901478364087,0.8130509429246129,0.8236874915915908,0.8180478047439317,85.57785691162188,0.8164424759722069,0.8248153464990415,0.8204316004353407,85.0760764001295,0.8092418418167979,0.8167039616993915,0.8128148586474164
0.2,85.7235351246358,0.8151083342637736,0.8271301343619497,0.820725691353175,85.38361929426999,0.8110036711038331,0.8227437830110429,0.8164909146500621,85.87460882702061,0.820175428889593,0.8243808755602655,0.8222305842191356,85.88539980576239,0.8219048455279048,0.8219048455279048,0.8219048455279049,85.5681450307543,0.8167872606461316,0.8167392577575328,0.8167632530360089
0.3,85.75590806086112,0.8169641435024433,0.8203717894641943,0.8186374456910448,85.59404337973454,0.8146794808084192,0.8197237817638567,0.8171336353690412,85.89619078450416,0.8220633432841087,0.8188823365582287,0.8204464464071223,86.03917125283263,0.8261254937312498,0.8171006015123498,0.8214050004538591,85.60051796697961,0.8192716417750985,0.8104459791062664,0.814657666553356
0.4,85.95014567821302,0.8210701277866723,0.8170425238023176,0.819015309015309,85.78828099708645,0.8192232707566178,0.8144633377521278,0.8167855876713424,85.88539980576239,0.8241733252511894,0.8124090416655849,0.8179416162852943,86.0877306571706,0.829209695007064,0.811945603120332,0.8198417154110584,85.64584007769504,0.8226311558931201,0.80408983600404,0.8125060173700747
0.5,86.11201035933959,0.8245949995576787,0.815043569161684,0.8195951942367653,85.99870508255098,0.8239481975074581,0.8116369856446176,0.8174212347060812,85.88539980576239,0.8275596331671098,0.8048804176707585,0.8149715494338889,86.07963742311428,0.8322853799104892,0.8056571490684281,0.8172783942365803,85.67821301392037,0.8259606218649107,0.7986298572634221,0.8104985088748426
0.6,86.20912916801554,0.8289569565545141,0.8091140525706288,0.8181072518577495,86.06345095500161,0.8281245673303242,0.8051068255286964,0.8153689510622331,85.85302686953706,0.8304022210785633,0.7985101479171928,0.8120613285532796,85.81256069925543,0.8324467619867355,0.7959148388209258,0.8110582183367564,85.48397539656847,0.8273722599409437,0.7891186978760458,0.8048168463531155
0.7,86.01489155066363,0.8282318327585164,0.8027504005958763,0.8139727325954221,85.91777274198769,0.8293021850022538,0.7973363855870861,0.8109659088271337,85.69116218841049,0.8316063670772109,0.7910013500659692,0.8075008431208669,85.50501780511493,0.8319829224669467,0.7863596416526673,0.8043692576897745,85.20556814503075,0.8276673723124575,0.7792586120465914,0.7980691441982908
0.8,85.85302686953706,0.8284291851111428,0.7962195877162761,0.8099298275701601,85.73972159274847,0.8305867010340913,0.7889580429099137,0.805864597531869,85.55087946476746,0.8337518759921764,0.7835150041422478,0.8029503127708914,85.27031401748138,0.8328642269756643,0.7778630549125978,0.7985102752957236,85.10844933635481,0.829915578199387,0.7732909597555964,0.7943762394962195
0.9,85.59404337973454,0.8273125142244437,0.7886393907293582,0.804545515945493,85.65878925218517,0.8329462129018791,0.7829843558584564,0.8024568832110719,85.3026869537067,0.8336767712605644,0.7759163985810146,0.797362428403817,85.19747491097442,0.8355801920873585,0.7726182025719255,0.795312130984301,84.9530592424733,0.8322528963519886,0.7659395976726231,0.7893979169285441
1.0,85.59404337973454,0.8310336392204583,0.7832113568528458,0.8020264490895426,85.62641631595986,0.8360628906867174,0.7781161720500189,0.799846504563928,85.16240423006367,0.835665381554787,0.7695593462565172,0.7930545621674676,84.92230495305925,0.8357936802228965,0.7644947841072101,0.7890032254165962,84.71349951440595,0.8330729932408163,0.75816355461024,0.7834030396132707
